Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Year
2013-08-07,#Beautiful,Mariah Carey Featuring Miguel,48,35.0,10,12.0,,2013
2014-05-07,#SELFIE,The Chainsmokers,34,22.0,6,9.0,,2014
2016-09-21,#WHERESTHELOVE,Black Eyed Peas Featuring The World,39,39.0,1,,,2016
2013-06-26,#thatPOWER,will.i.am Featuring Justin Bieber,37,31.0,9,13.0,,2013
2024-01-10,'Til You Can't,Cody Johnson,22,1.0,46,,https://charts-static.billboard.com/img/2021/06/cody-johnson-eoy-tilyoucant-jyb-180x180.jpg,2024
2021-02-10,'Till I Collapse,Eminem Featuring Nate Dogg,45,35.0,14,,,2021
2022-08-31,(Everything I Do) I Do It For You,Bryan Adams,36,34.0,3,,https://charts-static.billboard.com/img/2021/05/bryan-adams-tfc-everythingidoidoitforyou-j8u-180x180.jpg,2022
2018-12-26,(Happy Xmas) War Is Over!,Miley Cyrus & Mark Ronson Featuring Sean Ono Lennon,47,47.0,1,,,2018
2010-12-15,(I've Had) The Time Of My Life,Glee Cast,19,19.0,1,,,2010
2011-05-25,(It) Feels So Good,Steven Tyler,24,24.0,1,,,2011
2012-08-15,(Kissed You) Good Night,Gloriana,44,46.0,25,11.0,,2012
2021-08-04,(Sittin' On) The Dock Of The Bay,Otis Redding,12,9.0,9,4.0,https://charts-static.billboard.com/img/2012/07/otis-redding-8ga-sittinonthedockofthebay-niy-180x180.jpg,2021
2006-10-04,(When You Gonna) Give It Up To Me,Sean Paul Feat. Keyshia Cole,41,32.0,6,12.0,,2006
2018-08-29,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,10,11.0,10,2.0,,2018
2007-07-18,(You Want To) Make A Memory,Bon Jovi,50,40.0,15,10.0,,2007
2014-12-17,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,45,18.0,18,3.0,,2014
2024-03-20,...Baby One More Time,Tenacious D,9,9.0,1,,https://charts-static.billboard.com/img/2024/03/tenacious-d-5tq-babyonemoretime-jjg-180x180.jpg,2024
2018-01-03,...Ready For It?,Taylor Swift,50,14.0,1,14.0,,2018
2014-11-05,0 To 100 / The Catch Up,Drake,45,39.0,19,15.0,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2014
2020-03-04,00:00 (Zero O'Clock),BTS,16,16.0,1,,,2020
2005-06-01,1 Thing,Amerie,40,32.0,16,11.0,https://charts-static.billboard.com/img/2005/03/amerie-as3-1thing-x3i-180x180.jpg,2005
2011-06-08,1+1,Beyonce,33,33.0,1,,,2011
2018-02-07,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,27,3.0,21,,https://charts-static.billboard.com/img/2016/07/khalid-zwo-180x180.jpg,2018
